"x","y"
10,17.0845748623833
11,18.7833983828314
12,24.9453389514238
13,21.3469414822757
14,25.9544244939461
15,28.675668402575
16,35.8898711418733
17,37.0181762436405
18,40.5080262678675
19,36.6370739014819
20,43.8066134625115
21,39.3666114057414
22,39.1233146549203
23,49.351577904541
24,46.7482309970073
25,49.3648603907786
26,49.3013494978659
27,50.2093116273172
28,51.7705757324584
29,57.2640183772892
30,56.0947366384789
31,65.7734244251624
32,64.5878512351774
33,65.7094567120075
34,65.4790790351108
35,71.0957202455029
36,76.6551293949597
37,71.7082722890191
38,74.6277845990844
39,75.9020983632654
40,82.2393835987896
41,77.9168092417531
42,86.1454285341315
43,90.5975920045748
44,90.2157571767457
45,94.9465430970304
46,92.7265333156101
47,90.0662152734585
48,100.589424352162
49,100.879823113326
50,100.797817807179
51,101.643802638166
52,102.243149172049
53,107.60804242827
54,108.997380516492
55,105.636323953513
56,113.105421704706
57,111.413974395022
58,112.088580691721
59,121.993357743602
60,123.089876465965
61,121.167555847671
62,128.304982114118
63,129.894916917197
64,127.02406465495
65,127.743604336865
66,128.601054884959
67,134.30888913665
68,136.292132776231
69,142.598088664934
70,137.767947546672
71,146.02582739247
72,147.665630908217
73,142.01514974609
74,152.508088154253
75,153.187753469683
76,152.824837679975
77,153.046609734651
78,158.781352300663
79,159.996813234873
80,155.693183054682
81,165.025651487987
82,167.751798940357
83,164.33091158187
84,168.408217129298
85,170.530176302418
86,174.381816792767
87,169.308099137619
88,176.100679383613
89,180.862053900026
90,182.762096608058
91,182.02619585488
92,186.403772044927
93,188.96083322959
94,189.394260672387
95,193.940798814874
96,190.821576090995
97,189.78729462577
98,195.814027706161
99,200.780499041546
100,195.397986769676
